,0,1,accuracy,macro avg,weighted avg
precision,0.9705072297452375,0.4,0.937506757487296,0.6852536148726187,0.9414544775331057
recall,0.9634313055365687,0.4543524416135881,0.937506757487296,0.7088918735750784,0.937506757487296
f1-score,0.9669563228904642,0.4254473161033797,0.937506757487296,0.696201819496922,0.9393802884870998
support,8778.0,471.0,0.937506757487296,9249.0,9249.0
